Properties for container fio_dfs_controlled_1file_r3_p1_bs1M_nj16_iod16_1785995611
Name                                             Value                                                     
----                                             -----                                                     
Highest Allocated OID (alloc_oid)                0                                                         
Checksum (cksum)                                 off                                                       
Checksum Chunk Size (cksum_size)                 32 KiB                                                    
Compression (compression)                        off                                                       
Deduplication (dedup)                            off                                                       
Dedupe Threshold (dedup_threshold)               4.0 KiB                                                   
EC Cell Size (ec_cell_sz)                        64 KiB                                                    
Performance domain affinity level of EC (ec_pda) 1                                                         
Encryption (encryption)                          off                                                       
Global Version (global_version)                  3                                                         
Group (group)                                    users@                                                    
Label (label)                                    fio_dfs_controlled_1file_r3_p1_bs1M_nj16_iod16_1785995611 
Layout Type (layout_type)                        POSIX (1)                                                 
Layout Version (layout_version)                  1                                                         
Max Snapshot (max_snapshot)                      0                                                         
Object Version (obj_version)                     2                                                         
Owner (owner)                                    xmei@                                                     
Performance domain level (perf_domain)           root (255)                                                
Redundancy Factor (rd_fac)                       rd_fac0                                                   
Redundancy Level (rd_lvl)                        node (2)                                                  
Performance domain affinity level of RP (rp_pda) 4294967295                                                
Server Checksumming (srv_cksum)                  off                                                       
Health (status)                                  HEALTHY                                                   
Access Control List (acl)                        A::OWNER@:rwdtTaAo, A:G:GROUP@:rwtT                       
