  Container UUID              : 5e11e986-7405-4d46-a02e-505533a2cd6c                        
  Container Label             : fio_dfs_controlled_1file_r4_p1_bs1M_nj4_iod64_1785995867    
  Container Type              : POSIX                                                       
  Pool UUID                   : 33501c2e-2721-4811-adbb-118f78785224                        
  Container redundancy factor : 0                                                           
  Number of open handles      : 1                                                           
  Latest open time            : 0x2732f2a3bcfc0000 (2026-08-06 05:57:48.836184064 +0000 UTC)
  Latest close/modify time    : 0x2732f2a3c8f00000 (2026-08-06 05:57:48.848717824 +0000 UTC)
  Number of snapshots         : 0                                                           
  Object Class                : UNKNOWN                                                     
  Dir Object Class            : S1                                                          
  File Object Class           : S3877                                                       
  Chunk Size                  : 1.0 MiB                                                     

