campaign	repeat	position	numjobs	iodepth	aggregate_qd	files_per_job	total_objects	size_per_job	total_dataset_size	thread_mode	container	result_json	cmd_file	start_utc	end_utc	status
20260806_054458	1	1	4	64	256	1	4	2g	8g	0	fio_dfs_controlled_1file_r1_p1_bs1M_nj4_iod64_1785995100	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r1_p1_bs1M_nj4_iod64_1785995100.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r1_p1_bs1M_nj4_iod64_1785995100.cmd	2026-08-06T05:45:00Z	2026-08-06T05:46:18Z	ok
20260806_054458	1	2	8	32	256	1	8	1g	8g	0	fio_dfs_controlled_1file_r1_p2_bs1M_nj8_iod32_1785995185	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r1_p2_bs1M_nj8_iod32_1785995185.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r1_p2_bs1M_nj8_iod32_1785995185.cmd	2026-08-06T05:46:25Z	2026-08-06T05:47:43Z	ok
20260806_054458	1	3	16	16	256	1	16	512m	8g	0	fio_dfs_controlled_1file_r1_p3_bs1M_nj16_iod16_1785995270	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r1_p3_bs1M_nj16_iod16_1785995270.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r1_p3_bs1M_nj16_iod16_1785995270.cmd	2026-08-06T05:47:50Z	2026-08-06T05:49:09Z	ok
20260806_054458	2	1	8	32	256	1	8	1g	8g	0	fio_dfs_controlled_1file_r2_p1_bs1M_nj8_iod32_1785995356	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r2_p1_bs1M_nj8_iod32_1785995356.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r2_p1_bs1M_nj8_iod32_1785995356.cmd	2026-08-06T05:49:16Z	2026-08-06T05:50:34Z	ok
20260806_054458	2	2	16	16	256	1	16	512m	8g	0	fio_dfs_controlled_1file_r2_p2_bs1M_nj16_iod16_1785995440	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r2_p2_bs1M_nj16_iod16_1785995440.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r2_p2_bs1M_nj16_iod16_1785995440.cmd	2026-08-06T05:50:40Z	2026-08-06T05:52:00Z	ok
20260806_054458	2	3	4	64	256	1	4	2g	8g	0	fio_dfs_controlled_1file_r2_p3_bs1M_nj4_iod64_1785995526	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r2_p3_bs1M_nj4_iod64_1785995526.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r2_p3_bs1M_nj4_iod64_1785995526.cmd	2026-08-06T05:52:06Z	2026-08-06T05:53:24Z	ok
20260806_054458	3	1	16	16	256	1	16	512m	8g	0	fio_dfs_controlled_1file_r3_p1_bs1M_nj16_iod16_1785995611	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r3_p1_bs1M_nj16_iod16_1785995611.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r3_p1_bs1M_nj16_iod16_1785995611.cmd	2026-08-06T05:53:31Z	2026-08-06T05:54:50Z	ok
20260806_054458	3	2	4	64	256	1	4	2g	8g	0	fio_dfs_controlled_1file_r3_p2_bs1M_nj4_iod64_1785995697	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r3_p2_bs1M_nj4_iod64_1785995697.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r3_p2_bs1M_nj4_iod64_1785995697.cmd	2026-08-06T05:54:57Z	2026-08-06T05:56:15Z	ok
20260806_054458	3	3	8	32	256	1	8	1g	8g	0	fio_dfs_controlled_1file_r3_p3_bs1M_nj8_iod32_1785995782	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r3_p3_bs1M_nj8_iod32_1785995782.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r3_p3_bs1M_nj8_iod32_1785995782.cmd	2026-08-06T05:56:22Z	2026-08-06T05:57:40Z	ok
20260806_054458	4	1	4	64	256	1	4	2g	8g	0	fio_dfs_controlled_1file_r4_p1_bs1M_nj4_iod64_1785995867	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r4_p1_bs1M_nj4_iod64_1785995867.json	/home/xmei/iobench/pdsw26_daos-bench/results/aurora/fio-dfs-256io-sweep-controlled-1file/20260806_054458/fio_r4_p1_bs1M_nj4_iod64_1785995867.cmd	2026-08-06T05:57:47Z	2026-08-06T05:59:05Z	ok
