access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,engine,n,ppn,tx,timestamp,run_id,filename,bw_MiB_s
write,88375.7258,44242.0857,0.0241,131072.0,2048.0,1.5548,3.3329,1.7921,3.337,48,0,IL,1,48,2M,1782537840,ior_il_n-1_ppn-48_tx-2m_1782537840,ior_il_n-1_ppn-48_tx-2m_1782537840.csv,88375.7258
read,96908.4257,48506.6523,0.0439,131072.0,2048.0,0.0043,3.0399,0.2562,3.0432,48,0,IL,1,48,2M,1782537840,ior_il_n-1_ppn-48_tx-2m_1782537840,ior_il_n-1_ppn-48_tx-2m_1782537840.csv,96908.4257
write,159401.033,79839.2167,0.0287,131072.0,2048.0,0.0082,1.8469,0.037,1.8501,48,1,IL,1,48,2M,1782537840,ior_il_n-1_ppn-48_tx-2m_1782537840,ior_il_n-1_ppn-48_tx-2m_1782537840.csv,159401.033
read,100826.5812,50473.9098,0.0451,131072.0,2048.0,0.0042,2.9214,0.0578,2.9249,48,1,IL,1,48,2M,1782537840,ior_il_n-1_ppn-48_tx-2m_1782537840,ior_il_n-1_ppn-48_tx-2m_1782537840.csv,100826.5812
write,87935.2359,44017.0027,0.0256,131072.0,2048.0,1.5339,3.35,1.709,3.3537,48,0,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,87935.2359
read,92958.1627,46526.4801,0.0491,131072.0,2048.0,0.0042,3.1693,0.0443,3.1725,48,0,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,92958.1627
write,157460.9735,78873.0398,0.029,131072.0,2048.0,0.0087,1.8695,0.0301,1.8729,48,1,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,157460.9735
read,90454.3969,45277.191,0.0491,131072.0,2048.0,0.0043,3.2567,0.1325,3.2603,48,1,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,90454.3969
write,155612.7407,77934.475,0.0292,131072.0,2048.0,0.0082,1.8921,0.0268,1.8952,48,2,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,155612.7407
read,85479.1388,42782.6602,0.0489,131072.0,2048.0,0.0044,3.4466,0.3312,3.4501,48,2,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,85479.1388
write,157374.189,78817.9876,0.0288,131072.0,2048.0,0.0081,1.8708,0.0296,1.874,48,3,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,157374.189
read,93235.792,46669.1103,0.0492,131072.0,2048.0,0.0041,3.1596,0.0371,3.1631,48,3,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,93235.792
