access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,87935.2359,44017.0027,0.0256,131072.0000,2048.0000,1.5339,3.3500,1.7090,3.3537,48,0
read,92958.1627,46526.4801,0.0491,131072.0000,2048.0000,0.0042,3.1693,0.0443,3.1725,48,0
write,157460.9735,78873.0398,0.0290,131072.0000,2048.0000,0.0087,1.8695,0.0301,1.8729,48,1
read,90454.3969,45277.1910,0.0491,131072.0000,2048.0000,0.0043,3.2567,0.1325,3.2603,48,1
write,155612.7407,77934.4750,0.0292,131072.0000,2048.0000,0.0082,1.8921,0.0268,1.8952,48,2
read,85479.1388,42782.6602,0.0489,131072.0000,2048.0000,0.0044,3.4466,0.3312,3.4501,48,2
write,157374.1890,78817.9876,0.0288,131072.0000,2048.0000,0.0081,1.8708,0.0296,1.8740,48,3
read,93235.7920,46669.1103,0.0492,131072.0000,2048.0000,0.0041,3.1596,0.0371,3.1631,48,3
write,155898.5156,78088.5397,0.0293,131072.0000,2048.0000,0.0088,1.8883,0.0309,1.8917,48,4
read,93162.4875,46633.2284,0.0492,131072.0000,2048.0000,0.0042,3.1620,0.0350,3.1656,48,4
write,157433.4974,78859.2519,0.0289,131072.0000,2048.0000,0.0090,1.8699,0.0258,1.8732,48,5
read,93340.0800,46722.2691,0.0490,131072.0000,2048.0000,0.0043,3.1560,0.0294,3.1595,48,5
