access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,engine,cache,n,ppn,tx,timestamp,segments,run_id,filename,bw_MiB_s,latency_s,walltime_s,series,config
write,109381.5039,54766.9267,0.0231,131072.0,2048.0,0.0049,1.795,0.3537,1.7975,48,0,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,109381.5039,0.0231,1.7975,write-cold,DFS
read,74441.5976,37252.6184,0.0407,131072.0,2048.0,0.0045,2.6388,0.0648,2.6411,48,0,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,74441.5976,0.0407,2.6411,read,DFS
write,118218.2095,59179.3511,0.023,131072.0,2048.0,0.0039,1.6611,0.2227,1.6631,48,1,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,118218.2095,0.023,1.6631,write-warm,DFS
read,75532.7374,37794.0697,0.0402,131072.0,2048.0,0.0039,2.601,0.0496,2.603,48,1,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,75532.7374,0.0402,2.603,read,DFS
write,124938.8241,62558.1078,0.0228,131072.0,2048.0,0.0043,1.5714,0.139,1.5736,48,2,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,124938.8241,0.0228,1.5736,write-warm,DFS
read,75768.2821,37915.5259,0.0403,131072.0,2048.0,0.0043,2.5927,0.0437,2.5949,48,2,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,75768.2821,0.0403,2.5949,read,DFS
write,129312.6654,64748.271,0.0228,131072.0,2048.0,0.0042,1.5182,0.0926,1.5204,48,3,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,129312.6654,0.0228,1.5204,write-warm,DFS
read,75834.3015,37945.9081,0.0403,131072.0,2048.0,0.004,2.5906,0.0475,2.5926,48,3,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,75834.3015,0.0403,2.5926,read,DFS
write,131553.6593,65867.7964,0.0227,131072.0,2048.0,0.004,1.4924,0.0682,1.4945,48,4,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,131553.6593,0.0227,1.4945,write-warm,DFS
read,76082.8582,38069.8305,0.0401,131072.0,2048.0,0.004,2.5822,0.0489,2.5841,48,4,DFS,nocache,1,48,2M,1784748685,32,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685,ior_rw_DFS_nocache_n-1_ppn-48_tx-2M_1784748685.csv,76082.8582,0.0401,2.5841,read,DFS
