access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,138770.5261,69490.1339,0.0219,131072.0000,2048.0000,0.0042,1.4146,0.0166,1.4168,48,0
read,83301.9141,41689.2843,0.0365,131072.0000,2048.0000,0.0047,2.3580,0.0337,2.3602,48,0
write,140098.1328,70146.0367,0.0216,131072.0000,2048.0000,0.0039,1.4014,0.0197,1.4034,48,1
read,82307.5310,41189.0430,0.0369,131072.0000,2048.0000,0.0041,2.3867,0.0456,2.3887,48,1
write,140914.8050,70559.9628,0.0216,131072.0000,2048.0000,0.0039,1.3932,0.0163,1.3952,48,2
read,82840.4286,41455.4293,0.0368,131072.0000,2048.0000,0.0041,2.3713,0.0400,2.3733,48,2
write,140761.8721,70490.5036,0.0216,131072.0000,2048.0000,0.0041,1.3946,0.0172,1.3967,48,3
read,83493.5742,41782.9494,0.0365,131072.0000,2048.0000,0.0041,2.3527,0.0285,2.3548,48,3
write,141734.8177,70973.1584,0.0216,131072.0000,2048.0000,0.0040,1.3851,0.0185,1.3872,48,4
read,83690.7216,41881.2304,0.0364,131072.0000,2048.0000,0.0040,2.3472,0.0283,2.3492,48,4
