access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,109381.5039,54766.9267,0.0231,131072.0000,2048.0000,0.0049,1.7950,0.3537,1.7975,48,0
read,74441.5976,37252.6184,0.0407,131072.0000,2048.0000,0.0045,2.6388,0.0648,2.6411,48,0
write,118218.2095,59179.3511,0.0230,131072.0000,2048.0000,0.0039,1.6611,0.2227,1.6631,48,1
read,75532.7374,37794.0697,0.0402,131072.0000,2048.0000,0.0039,2.6010,0.0496,2.6030,48,1
write,124938.8241,62558.1078,0.0228,131072.0000,2048.0000,0.0043,1.5714,0.1390,1.5736,48,2
read,75768.2821,37915.5259,0.0403,131072.0000,2048.0000,0.0043,2.5927,0.0437,2.5949,48,2
write,129312.6654,64748.2710,0.0228,131072.0000,2048.0000,0.0042,1.5182,0.0926,1.5204,48,3
read,75834.3015,37945.9081,0.0403,131072.0000,2048.0000,0.0040,2.5906,0.0475,2.5926,48,3
write,131553.6593,65867.7964,0.0227,131072.0000,2048.0000,0.0040,1.4924,0.0682,1.4945,48,4
read,76082.8582,38069.8305,0.0401,131072.0000,2048.0000,0.0040,2.5822,0.0489,2.5841,48,4
write,134090.9265,67146.6230,0.0226,131072.0000,2048.0000,0.0043,1.4640,0.0378,1.4662,48,5
read,76036.6341,38048.5975,0.0401,131072.0000,2048.0000,0.0041,2.5836,0.0394,2.5857,48,5
write,135102.6459,67645.6472,0.0226,131072.0000,2048.0000,0.0040,1.4532,0.0307,1.4552,48,6
read,76070.0566,38064.7485,0.0399,131072.0000,2048.0000,0.0040,2.5825,0.0422,2.5846,48,6
write,134723.4673,67469.8673,0.0227,131072.0000,2048.0000,0.0044,1.4570,0.0403,1.4593,48,7
read,76081.5104,38071.5600,0.0402,131072.0000,2048.0000,0.0042,2.5821,0.0361,2.5842,48,7
write,134903.3550,67553.9239,0.0227,131072.0000,2048.0000,0.0043,1.4552,0.0349,1.4574,48,8
read,76180.1407,38119.8167,0.0402,131072.0000,2048.0000,0.0040,2.5788,0.0373,2.5808,48,8
write,135604.6296,67905.7284,0.0225,131072.0000,2048.0000,0.0043,1.4477,0.0301,1.4499,48,9
read,76055.2250,38057.4967,0.0401,131072.0000,2048.0000,0.0041,2.5830,0.0434,2.5851,48,9
