access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,33815.8277,16916.6607,0.0232,131072.0000,2048.0000,3.3497,5.8111,4.3246,5.8141,48,0
read,69655.7193,34851.4782,0.0374,131072.0000,2048.0000,0.0028,2.8207,0.4374,2.8226,48,0
write,140323.6332,70258.7882,0.0217,131072.0000,2048.0000,0.0058,1.3992,0.0142,1.4011,48,1
read,81562.7965,40816.3430,0.0374,131072.0000,2048.0000,0.0028,2.4084,0.0312,2.4105,48,1
write,137620.5438,68902.4817,0.0220,131072.0000,2048.0000,0.0059,1.4267,0.0252,1.4286,48,2
read,78918.1857,39493.0480,0.0382,131072.0000,2048.0000,0.0029,2.4891,0.0656,2.4913,48,2
write,135127.4409,67648.2553,0.0224,131072.0000,2048.0000,0.0057,1.4532,0.0330,1.4550,48,3
read,77744.9971,38904.6657,0.0391,131072.0000,2048.0000,0.0028,2.5268,0.0605,2.5289,48,3
write,134778.1410,67488.5309,0.0222,131072.0000,2048.0000,0.0059,1.4566,0.0410,1.4588,48,4
read,76247.6556,38155.0639,0.0391,131072.0000,2048.0000,0.0028,2.5764,0.0767,2.5785,48,4
