access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,33735.7024,16878.1387,0.0265,131072.0000,2048.0000,3.3225,5.8243,4.1261,5.8279,48,0
read,81171.1597,40617.4407,0.0340,131072.0000,2048.0000,0.0028,2.4202,0.2443,2.4221,48,0
write,124146.6914,62145.7042,0.0238,131072.0000,2048.0000,0.0057,1.5818,0.0810,1.5837,48,1
read,85859.6358,42966.2194,0.0355,131072.0000,2048.0000,0.0026,2.2879,0.0409,2.2899,48,1
write,127433.1962,63796.6902,0.0234,131072.0000,2048.0000,0.0059,1.5409,0.0640,1.5428,48,2
read,85735.8851,42905.6098,0.0354,131072.0000,2048.0000,0.0027,2.2912,0.0285,2.2932,48,2
write,128835.4308,64502.6282,0.0235,131072.0000,2048.0000,0.0061,1.5240,0.0470,1.5260,48,3
read,85494.2989,42786.9311,0.0356,131072.0000,2048.0000,0.0027,2.2975,0.0362,2.2997,48,3
write,129438.0632,64800.4737,0.0234,131072.0000,2048.0000,0.0059,1.5170,0.0508,1.5189,48,4
read,85550.3983,42813.1125,0.0356,131072.0000,2048.0000,0.0028,2.2961,0.0354,2.2982,48,4
