access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,809.3305,404.6920,3.7304,131072.0000,2048.0000,0.1837,242.9107,4.1598,242.9267,48,0
read,3135.8617,1571.6527,0.9278,131072.0000,2048.0000,0.4490,62.5482,3.1662,62.6966,48,0
write,423.9124,211.9670,7.0065,131072.0000,2048.0000,0.6405,463.7703,15.3547,463.7939,48,1
read,3468.2209,1735.6500,0.8819,131072.0000,2048.0000,0.2643,56.6381,0.4695,56.6884,48,1
write,619.3786,309.7191,4.7298,131072.0000,2048.0000,0.9802,317.3973,14.6912,317.4278,48,2
read,3487.3761,1750.6612,0.8691,131072.0000,2048.0000,0.7574,56.1525,1.0927,56.3771,48,2
write,866.7914,433.4134,3.5080,131072.0000,2048.0000,0.1718,226.8135,5.3715,226.8227,48,3
read,3312.0880,1661.7424,0.9213,131072.0000,2048.0000,0.3960,59.1572,1.6240,59.3607,48,3
write,888.6137,444.3266,3.4126,131072.0000,2048.0000,0.1913,221.2427,9.4278,221.2525,48,4
read,3073.4064,1545.3448,0.9915,131072.0000,2048.0000,0.4625,63.6130,0.3383,63.9707,48,4
write,886.4169,443.2275,3.4416,131072.0000,2048.0000,0.1707,221.7913,5.3059,221.8008,48,5
read,3310.5959,1662.8556,0.9216,131072.0000,2048.0000,0.4015,59.1176,0.6598,59.3875,48,5
