access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,646.0296,323.0313,4.2472,131072.0000,2048.0000,0.1994,304.3172,32.4981,304.3328,48,0
read,3236.1117,1620.6352,0.9443,131072.0000,2048.0000,0.3212,60.6577,0.7437,60.7544,48,0
write,901.4350,450.7349,3.3195,131072.0000,2048.0000,0.1726,218.0972,5.6496,218.1056,48,1
read,3429.7076,1722.5374,0.8885,131072.0000,2048.0000,0.4274,57.0693,1.2358,57.3250,48,1
write,755.3905,377.7110,3.4279,131072.0000,2048.0000,0.2366,260.2625,41.8723,260.2733,48,2
read,3317.8111,1664.8166,0.9148,131072.0000,2048.0000,0.5939,59.0479,1.2728,59.2583,48,2
write,870.6544,435.4213,3.4111,131072.0000,2048.0000,1.3632,225.7676,7.4544,225.8164,48,3
read,3373.4509,1687.5343,0.8953,131072.0000,2048.0000,0.4673,58.2530,3.9352,58.2810,48,3
write,503.7824,252.0378,5.6387,131072.0000,2048.0000,5.5775,390.0368,29.1617,390.2638,48,4
read,3287.9123,1645.2108,0.9047,131072.0000,2048.0000,0.2751,59.7516,2.3030,59.7972,48,4
