access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,335290.2874,21020.0930,0.1438,131072.0000,16384.0000,0.0072,1.1692,0.0499,1.1728,96,0
read,235076.0790,14725.1625,0.1805,131072.0000,16384.0000,0.0076,1.6690,0.4481,1.6727,96,0
write,335025.4096,21011.2538,0.1431,131072.0000,16384.0000,0.0078,1.1697,0.0493,1.1737,96,1
read,240683.9748,15078.0207,0.1859,131072.0000,16384.0000,0.0077,1.6299,0.3656,1.6337,96,1
write,335383.2198,21024.0845,0.1442,131072.0000,16384.0000,0.0068,1.1689,0.0508,1.1724,96,2
read,237083.7876,14849.1963,0.1713,131072.0000,16384.0000,0.0073,1.6550,0.3902,1.6586,96,2
write,335823.4213,21049.6425,0.1426,131072.0000,16384.0000,0.0066,1.1675,0.0545,1.1709,96,3
read,244678.3582,15325.5173,0.1701,131072.0000,16384.0000,0.0074,1.6036,0.4562,1.6071,96,3
write,335103.8962,21012.6373,0.1452,131072.0000,16384.0000,0.0075,1.1696,0.0486,1.1734,96,4
read,249639.5559,15640.8511,0.1525,131072.0000,16384.0000,0.0077,1.5713,0.4176,1.5751,96,4
write,336844.1497,21116.0311,0.1433,131072.0000,16384.0000,0.0067,1.1639,0.0498,1.1674,96,5
read,247629.9087,15510.1499,0.1807,131072.0000,16384.0000,0.0072,1.5845,0.4091,1.5879,96,5
write,334743.6240,20983.9476,0.1443,131072.0000,16384.0000,0.0068,1.1712,0.0597,1.1747,96,6
read,257207.5350,16116.4872,0.1524,131072.0000,16384.0000,0.0078,1.5249,0.3159,1.5288,96,6
write,335217.6410,21012.2732,0.1415,131072.0000,16384.0000,0.0067,1.1696,0.0525,1.1730,96,7
read,246432.7497,15437.3038,0.1947,131072.0000,16384.0000,0.0074,1.5920,0.4342,1.5956,96,7
write,335457.0296,21029.6433,0.1430,131072.0000,16384.0000,0.0069,1.1686,0.0517,1.1722,96,8
read,239701.6847,15015.2594,0.1898,131072.0000,16384.0000,0.0074,1.6367,0.4715,1.6404,96,8
write,335511.6917,21038.1416,0.1442,131072.0000,16384.0000,0.0075,1.1682,0.0626,1.1720,96,9
read,254351.5268,15938.5386,0.1847,131072.0000,16384.0000,0.0080,1.5419,0.3575,1.5460,96,9
