access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,n,ppn,tx,filename,bw_GiB_s
write,1634176.6375,102692.5264,0.0739,131072.0,16384.0,0.0066,0.6382,0.0502,0.6417,256,0,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1595.8756225585937
read,1465863.5425,92029.1795,0.0844,131072.0,16384.0,0.0063,0.7121,0.0509,0.7153,256,0,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1431.5073657226562
write,1627054.2864,102219.0292,0.0749,131072.0,16384.0,0.0064,0.6411,0.0532,0.6445,256,1,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1588.9202015625
read,1460064.2817,91665.9353,0.0843,131072.0,16384.0,0.0064,0.7149,0.0526,0.7182,256,1,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1425.8440250976562
write,1630207.8664,102423.3726,0.0742,131072.0,16384.0,0.0065,0.6399,0.0511,0.6432,256,2,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1591.99986953125
read,1449775.6007,91023.9969,0.0843,131072.0,16384.0,0.0066,0.72,0.0559,0.7233,256,2,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1415.7964850585938
write,1632103.8298,102551.6127,0.0729,131072.0,16384.0,0.0066,0.6391,0.0563,0.6425,256,3,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1593.8513962890624
read,1452323.482,91190.5342,0.0835,131072.0,16384.0,0.0066,0.7187,0.0509,0.722,256,3,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1418.284650390625
write,1608568.4481,101096.8202,0.0754,131072.0,16384.0,0.007,0.6482,0.0609,0.6519,256,4,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1570.8676250976562
read,1458255.1558,91591.8663,0.0861,131072.0,16384.0,0.0069,0.7155,0.0465,0.7191,256,4,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1424.0773005859376
