access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,94867.8566,47547.7729,0.0211,131072.0000,2048.0000,0.0064,1.3783,0.0362,1.3816,32,0
read,47859.3256,23956.2199,0.0422,131072.0000,2048.0000,0.0063,2.7357,0.0338,2.7387,32,0
write,96052.1648,48145.1854,0.0209,131072.0000,2048.0000,0.0065,1.3612,0.0311,1.3646,32,1
read,48211.2956,24134.3579,0.0420,131072.0000,2048.0000,0.0065,2.7155,0.0280,2.7187,32,1
write,96046.5096,48140.4889,0.0210,131072.0000,2048.0000,0.0065,1.3613,0.0217,1.3647,32,2
read,48290.7974,24174.2461,0.0421,131072.0000,2048.0000,0.0065,2.7110,0.0234,2.7142,32,2
write,97539.8594,48886.3034,0.0208,131072.0000,2048.0000,0.0063,1.3406,0.0163,1.3438,32,3
read,48151.8735,24103.5995,0.0422,131072.0000,2048.0000,0.0063,2.7189,0.0181,2.7221,32,3
write,97359.0887,48797.2711,0.0209,131072.0000,2048.0000,0.0064,1.3430,0.0206,1.3463,32,4
read,48168.2556,24112.2473,0.0422,131072.0000,2048.0000,0.0063,2.7180,0.0258,2.7211,32,4
write,97729.8844,48987.3745,0.0207,131072.0000,2048.0000,0.0065,1.3378,0.0138,1.3412,32,5
read,48164.1369,24111.2701,0.0423,131072.0000,2048.0000,0.0065,2.7181,0.0201,2.7214,32,5
write,97777.7020,49005.8373,0.0208,131072.0000,2048.0000,0.0063,1.3373,0.0161,1.3405,32,6
read,48181.6295,24118.6705,0.0422,131072.0000,2048.0000,0.0062,2.7172,0.0270,2.7204,32,6
write,97600.1212,48918.0495,0.0208,131072.0000,2048.0000,0.0064,1.3397,0.0144,1.3429,32,7
read,48224.6511,24140.6869,0.0421,131072.0000,2048.0000,0.0063,2.7148,0.0276,2.7179,32,7
write,95698.0819,47962.8053,0.0211,131072.0000,2048.0000,0.0064,1.3664,0.0178,1.3696,32,8
read,48238.5642,24147.7129,0.0422,131072.0000,2048.0000,0.0063,2.7140,0.0240,2.7172,32,8
write,97792.3121,49015.7382,0.0207,131072.0000,2048.0000,0.0064,1.3370,0.0163,1.3403,32,9
read,48325.4487,24191.3812,0.0421,131072.0000,2048.0000,0.0063,2.7091,0.0156,2.7123,32,9
