access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,315842.6152,19825.3889,0.1009,131072.0000,16384.0000,0.0068,0.8264,0.0277,0.8300,64,0
read,276462.3125,17338.5385,0.1157,131072.0000,16384.0000,0.0065,0.9449,0.0237,0.9482,64,0
write,315184.4871,19777.9046,0.1012,131072.0000,16384.0000,0.0063,0.8284,0.0403,0.8317,64,1
read,276407.4073,17333.1637,0.1145,131072.0000,16384.0000,0.0063,0.9452,0.0374,0.9484,64,1
write,314086.6824,19707.5157,0.1017,131072.0000,16384.0000,0.0063,0.8314,0.0309,0.8346,64,2
read,276977.8840,17369.7334,0.1147,131072.0000,16384.0000,0.0064,0.9432,0.0294,0.9464,64,2
write,314048.0169,19705.9729,0.1016,131072.0000,16384.0000,0.0065,0.8314,0.0402,0.8347,64,3
read,275632.3126,17285.6009,0.1151,131072.0000,16384.0000,0.0064,0.9478,0.0348,0.9511,64,3
write,313966.7698,19699.6008,0.1027,131072.0000,16384.0000,0.0063,0.8317,0.0350,0.8349,64,4
read,275407.6536,17270.4788,0.1160,131072.0000,16384.0000,0.0062,0.9487,0.0315,0.9518,64,4
write,314183.7917,19713.6781,0.1017,131072.0000,16384.0000,0.0063,0.8311,0.0412,0.8344,64,5
read,276618.5986,17347.3886,0.1170,131072.0000,16384.0000,0.0063,0.9445,0.0352,0.9477,64,5
write,313956.9978,19696.5235,0.1012,131072.0000,16384.0000,0.0061,0.8318,0.0346,0.8350,64,6
read,278122.4135,17439.7122,0.1150,131072.0000,16384.0000,0.0060,0.9395,0.0336,0.9425,64,6
write,314614.5055,19742.6361,0.1000,131072.0000,16384.0000,0.0065,0.8299,0.0302,0.8332,64,7
read,281212.7155,17638.0846,0.1113,131072.0000,16384.0000,0.0064,0.9289,0.0387,0.9322,64,7
write,314114.9474,19711.5237,0.1026,131072.0000,16384.0000,0.0066,0.8312,0.0414,0.8345,64,8
read,280197.0986,17574.1182,0.1149,131072.0000,16384.0000,0.0064,0.9323,0.0312,0.9356,64,8
write,315140.5830,19774.6606,0.0995,131072.0000,16384.0000,0.0064,0.8285,0.0329,0.8318,64,9
read,280665.3671,17602.2889,0.1132,131072.0000,16384.0000,0.0063,0.9308,0.0277,0.9340,64,9
