access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,14974.7282,7539.6401,0.0082,131072.0000,2048.0000,0.0073,0.5433,0.0162,0.5471,8,0
read,15301.5367,7717.8763,0.0082,131072.0000,2048.0000,0.0082,0.5307,0.0047,0.5354,8,0
write,21179.0185,10686.4838,0.0060,131072.0000,2048.0000,0.0068,0.3833,0.0135,0.3868,8,1
read,15061.7041,7578.0825,0.0084,131072.0000,2048.0000,0.0068,0.5405,0.0057,0.5439,8,1
write,22471.0483,11333.1076,0.0055,131072.0000,2048.0000,0.0062,0.3614,0.0074,0.3646,8,2
read,15361.9718,7725.5464,0.0082,131072.0000,2048.0000,0.0061,0.5302,0.0065,0.5333,8,2
write,22734.4681,11471.8458,0.0055,131072.0000,2048.0000,0.0064,0.3570,0.0060,0.3603,8,3
read,15279.6193,7686.9934,0.0083,131072.0000,2048.0000,0.0065,0.5328,0.0043,0.5361,8,3
write,22830.8916,11526.7252,0.0055,131072.0000,2048.0000,0.0068,0.3553,0.0038,0.3588,8,4
read,15067.1332,7580.0351,0.0084,131072.0000,2048.0000,0.0066,0.5404,0.0067,0.5437,8,4
write,22784.5493,11499.2816,0.0054,131072.0000,2048.0000,0.0065,0.3562,0.0079,0.3595,8,5
read,14525.8510,7304.6177,0.0087,131072.0000,2048.0000,0.0065,0.5607,0.0061,0.5640,8,5
write,22985.6087,11602.5712,0.0054,131072.0000,2048.0000,0.0066,0.3530,0.0048,0.3564,8,6
read,13739.1361,6907.1576,0.0092,131072.0000,2048.0000,0.0064,0.5930,0.0118,0.5963,8,6
write,23087.1104,11656.1644,0.0054,131072.0000,2048.0000,0.0067,0.3514,0.0065,0.3548,8,7
read,12905.1339,6486.9767,0.0098,131072.0000,2048.0000,0.0066,0.6314,0.0078,0.6348,8,7
write,23196.8080,11708.2040,0.0054,131072.0000,2048.0000,0.0065,0.3498,0.0061,0.3532,8,8
read,12114.9186,6086.8791,0.0103,131072.0000,2048.0000,0.0065,0.6729,0.0110,0.6762,8,8
write,23325.9393,11772.4200,0.0054,131072.0000,2048.0000,0.0064,0.3479,0.0043,0.3512,8,9
read,11643.0945,5848.3387,0.0108,131072.0000,2048.0000,0.0064,0.7004,0.0126,0.7036,8,9
